,FIPS,County Name,Agency name,State,Latitude,Longitude,2012 Crimes,2013 Crimes,2014 Crimes,2015 Crimes,2016 Crimes,Total Crimes,FIPS_block
5,01001,Autauga,Prattville,Alabama,32.4640245,-86.45969659999999,0.0,2.0,4.0,1.0,0.0,7.0,010010203002009
3,01003,Baldwin,Foley,Alabama,30.406586800000003,-87.68359740000001,0.0,0.0,0.0,0.0,1.0,1.0,010030115011130
0,01073,Jefferson,Birmingham,Alabama,33.5206608,-86.80248999999998,0.0,0.0,0.0,3.0,8.0,11.0,010730027001097
1,01073,Jefferson,Fairfield,Alabama,33.4859402,-86.91193659999998,0.0,0.0,1.0,0.0,0.0,1.0,010730106024001
4,01073,Jefferson,Hoover,Alabama,33.405386699999994,-86.8113781,6.0,0.0,2.0,4.0,3.0,15.0,010730144092025
2,01077,Lauderdale,Florence,Alabama,34.79981,-87.677251,0.0,2.0,0.0,0.0,1.0,3.0,010770101002046
6,01121,Talladega,Sylacauga,Alabama,33.1731716,-86.2516406,0.0,0.0,2.0,0.0,0.0,2.0,011210118001047
7,01125,Tuscaloosa,Tuscaloosa,Alabama,33.2098407,-87.56917349999998,0.0,1.0,0.0,0.0,0.0,1.0,011250116001038
8,02020,Anchorage,Anchorage,Alaska,61.2180556,-149.90027780000003,6.0,8.0,5.0,4.0,4.0,27.0,020200011001015
11,02090,Fairbanks North Star,North Pole,Alaska,64.7511111,-147.34944430000002,0.0,0.0,0.0,1.0,0.0,1.0,020900016003040
9,02110,Juneau,Juneau,Alaska,58.301944400000004,-134.4197221,0.0,0.0,0.0,0.0,6.0,6.0,021100005003046
12,02122,Kenai Peninsula,Soldotna,Alaska,60.487777799999996,-151.0583332,0.0,0.0,0.0,1.0,0.0,1.0,021220005003052
13,02170,Matanuska-Susitna,Wasilla,Alaska,61.58138889999999,-149.4394444,0.0,0.0,0.0,0.0,1.0,1.0,021700008003041
10,02188,Northwest Arctic,Kotzebue,Alaska,66.89833329999999,-162.5966666,0.0,0.0,0.0,1.0,0.0,1.0,021880002001004
40,04001,Apache,St. Johns,Arizona,34.5058698,-109.3609327,0.0,0.0,0.0,0.0,0.0,0.0,040019703002001
20,04001,Apache,Eagar,Arizona,34.1111581,-109.291475,0.0,1.0,0.0,0.0,0.0,1.0,040019705012044
44,04003,Cochise,Willcox,Arizona,32.252851899999996,-109.83201240000001,0.0,0.0,0.0,0.0,0.0,0.0,040030002023090
22,04005,Coconino,Flagstaff,Arizona,35.1982836,-111.651302,3.0,0.0,0.0,0.0,0.0,3.0,040050012002072
45,04005,Coconino,Williams,Arizona,35.24945659999999,-112.19100309999999,0.0,0.0,0.0,0.0,0.0,0.0,040050017003049
31,04005,Coconino,Northern Arizona University,Arizona,35.1851895,-111.6547075,0.0,0.0,3.0,0.0,0.0,3.0,040050010001008
41,04013,Maricopa,Tempe,Arizona,33.4255104,-111.9400054,3.0,1.0,2.0,0.0,0.0,6.0,040133187002015
16,04013,Maricopa,Avondale,Arizona,33.4355977,-112.3496021,0.0,5.0,3.0,2.0,0.0,10.0,040130612002022
34,04013,Maricopa,Phoenix,Arizona,33.4483771,-112.07403729999999,89.0,66.0,145.0,177.0,130.0,607.0,040131141001032
33,04013,Maricopa,Paradise Valley,Arizona,33.5311541,-111.9426452,1.0,0.0,0.0,0.0,0.0,1.0,040131050041004
15,04013,Maricopa,"Arizona State University, Main Campus",Arizona,33.453538300000005,-112.07312160000001,1.0,0.0,0.0,2.0,1.0,4.0,040131131002041
29,04013,Maricopa,Mesa,Arizona,33.4151843,-111.83147240000001,2.0,2.0,7.0,4.0,3.0,18.0,040134214001019
24,04013,Maricopa,Glendale,Arizona,33.538652299999995,-112.18598659999999,6.0,6.0,7.0,7.0,1.0,27.0,040130925003035
23,04013,Maricopa,Gilbert,Arizona,33.3528264,-111.789027,2.0,1.0,2.0,4.0,1.0,10.0,040134224023012
17,04013,Maricopa,Chandler,Arizona,33.3061605,-111.8412502,0.0,0.0,1.0,1.0,4.0,6.0,040135231021003
21,04013,Maricopa,El Mirage,Arizona,33.613094200000006,-112.32460420000001,0.0,1.0,1.0,1.0,0.0,3.0,040130609023013
25,04013,Maricopa,Goodyear,Arizona,33.4353394,-112.3576567,0.0,0.0,1.0,0.0,0.0,1.0,040130613001033
38,04013,Maricopa,Scottsdale,Arizona,33.494170399999994,-111.9260519,3.0,2.0,4.0,2.0,4.0,15.0,040132172012027
27,04015,Mohave,Kingman,Arizona,35.189443,-114.0530065,0.0,0.0,1.0,0.0,0.0,1.0,040159536022058
26,04017,Navajo,Holbrook,Arizona,34.9022482,-110.15817679999999,0.0,0.0,0.0,0.0,0.0,0.0,040179602001189
39,04017,Navajo,Show Low,Arizona,34.254208399999996,-110.0298327,1.0,0.0,0.0,0.0,0.0,1.0,040179652001005
37,04019,Pima,Sahuarita,Arizona,31.957581800000003,-110.955646,0.0,0.0,0.0,0.0,1.0,1.0,040190041191013
42,04019,Pima,Tucson,Arizona,32.2226066,-110.9747108,8.0,20.0,6.0,1.0,3.0,38.0,040190001002011
32,04019,Pima,Oro Valley,Arizona,32.3909071,-110.96648799999998,0.0,0.0,1.0,0.0,0.0,1.0,040190046191013
14,04021,Pinal,Apache Junction,Arizona,33.4150485,-111.5495777,1.0,1.0,1.0,2.0,2.0,7.0,040210003101017
18,04021,Pinal,Coolidge,Arizona,32.977839,-111.517624,1.0,0.0,0.0,0.0,0.0,1.0,040210010001052
28,04021,Pinal,Maricopa,Arizona,33.058106300000006,-112.04764229999999,2.0,1.0,0.0,0.0,0.0,3.0,040210017062017
30,04023,Santa Cruz,Nogales,Arizona,31.340377500000002,-110.93425320000001,0.0,0.0,0.0,1.0,0.0,1.0,040239663023001
35,04025,Yavapai,Prescott,Arizona,34.540024200000005,-112.46850249999999,0.0,1.0,0.0,1.0,0.0,2.0,040250008012019
19,04025,Yavapai,Cottonwood,Arizona,34.7391876,-112.00987909999999,0.0,0.0,1.0,0.0,0.0,1.0,040250020011000
36,04025,Yavapai,Prescott Valley,Arizona,34.6100243,-112.315721,0.0,0.0,0.0,0.0,1.0,1.0,040250006092000
46,04027,Yuma,Yuma,Arizona,32.6926512,-114.62769159999999,2.0,10.0,13.0,3.0,3.0,31.0,040270008001024
48,05007,Benton,Bentonville,Arkansas,36.372853799999994,-94.2088172,2.0,1.0,0.0,0.0,0.0,3.0,050070205012014
67,05007,Benton,Rogers,Arkansas,36.3320196,-94.1185366,0.0,1.0,1.0,0.0,0.0,2.0,050070202013045
49,05015,Carroll,Berryville,Arkansas,36.364792,-93.5679667,0.0,1.0,0.0,0.0,0.0,1.0,050159503004023
56,05019,Clark,Gurdon,Arkansas,33.920936499999996,-93.15405909999998,0.0,1.0,0.0,0.0,0.0,1.0,050199539001054
58,05031,Craighead,Jonesboro,Arkansas,35.84229670000001,-90.704279,1.0,0.0,0.0,0.0,0.0,1.0,050310001013002
60,05035,Crittenden,Marion,Arkansas,35.2145336,-90.1964835,0.0,0.0,0.0,0.0,0.0,0.0,050350308062021
61,05041,Desha,McGehee,Arkansas,33.6255234,-91.3945566,1.0,0.0,0.0,0.0,0.0,1.0,050419504002037
65,05055,Greene,Paragould,Arkansas,36.0584021,-90.4973286,1.0,0.0,0.0,0.0,0.0,1.0,050554804004006
62,05067,Jackson,Newport,Arkansas,35.6048018,-91.28179509999998,1.0,0.0,0.0,0.0,0.0,1.0,050674802004021
71,05069,Jefferson,"University of Arkansas, Pine Bluff",Arkansas,34.2468716,-92.0213392,0.0,0.0,0.0,0.0,0.0,0.0,050690005023046
66,05069,Jefferson,Pine Bluff,Arkansas,34.2284312,-92.0031955,1.0,0.0,0.0,0.0,0.0,1.0,050690010003006
52,05085,Lonoke,England,Arkansas,34.5442609,-91.96902840000001,0.0,1.0,0.0,0.0,0.0,1.0,050850207001069
51,05085,Lonoke,Cabot,Arkansas,34.974532,-92.01653359999999,0.0,1.0,0.0,0.0,0.0,1.0,050850202042000
63,05119,Pulaski,North Little Rock,Arkansas,34.769535999999995,-92.2670941,0.0,1.0,0.0,0.0,0.0,1.0,051190029001046
57,05119,Pulaski,Jacksonville,Arkansas,34.8662005,-92.1101458,0.0,0.0,0.0,0.0,2.0,2.0,051190036082029
68,05119,Pulaski,Sherwood,Arkansas,34.8150907,-92.22431529999999,2.0,1.0,0.0,0.0,0.0,3.0,051190037034003
59,05119,Pulaski,Little Rock,Arkansas,34.7464809,-92.2895948,0.0,0.0,0.0,0.0,0.0,0.0,051190044002057
50,05125,Saline,Bryant,Arkansas,34.595926500000004,-92.4890469,1.0,0.0,0.0,1.0,0.0,2.0,051250104043022
47,05125,Saline,Benton,Arkansas,34.5645371,-92.586828,0.0,0.0,0.0,0.0,0.0,0.0,051250101013051
55,05131,Sebastian,Fort Smith,Arkansas,35.385924200000005,-94.3985475,0.0,1.0,3.0,0.0,4.0,8.0,051310005011026
53,05141,Van Buren,Fairfield Bay,Arkansas,35.5942441,-92.2779324,0.0,1.0,0.0,0.0,0.0,1.0,051414603022093
54,05143,Washington,Fayetteville,Arkansas,36.082156,-94.1718542,1.0,0.0,0.0,0.0,0.0,1.0,051430107011006
69,05143,Washington,Springdale,Arkansas,36.18674420000001,-94.1288141,2.0,0.0,0.0,0.0,0.0,2.0,051430112001028
70,05143,Washington,"University of Arkansas, Fayetteville",Arkansas,36.06783239999999,-94.1736551,0.0,0.0,1.0,0.0,0.0,1.0,051430113004005
64,05149,Yell,Ola,Arkansas,35.0323119,-93.2232345,1.0,0.0,0.0,0.0,0.0,1.0,051499525004059
116,06001,Alameda,Berkeley,California,37.87159260000001,-122.272747,4.0,9.0,4.0,3.0,3.0,23.0,060014224002013
115,06001,Alameda,Berkeley,California,37.87159260000001,-122.272747,4.0,9.0,4.0,3.0,11.0,31.0,060014224002013
114,06001,Alameda,Berkeley,California,37.87159260000001,-122.272747,4.0,9.0,3.0,2.0,3.0,21.0,060014224002013
113,06001,Alameda,Berkeley,California,37.87159260000001,-122.272747,4.0,9.0,3.0,2.0,11.0,29.0,060014224002013
112,06001,Alameda,Berkeley,California,37.87159260000001,-122.272747,4.0,9.0,3.0,3.0,3.0,22.0,060014224002013
109,06001,Alameda,Berkeley,California,37.87159260000001,-122.272747,7.0,6.0,4.0,2.0,11.0,30.0,060014224002013
110,06001,Alameda,Berkeley,California,37.87159260000001,-122.272747,7.0,6.0,4.0,2.0,3.0,22.0,060014224002013
117,06001,Alameda,Berkeley,California,37.87159260000001,-122.272747,4.0,9.0,4.0,2.0,11.0,30.0,060014224002013
108,06001,Alameda,Berkeley,California,37.87159260000001,-122.272747,7.0,6.0,4.0,3.0,3.0,23.0,060014224002013
107,06001,Alameda,Berkeley,California,37.87159260000001,-122.272747,7.0,6.0,4.0,3.0,11.0,31.0,060014224002013
106,06001,Alameda,Berkeley,California,37.87159260000001,-122.272747,7.0,6.0,3.0,2.0,3.0,21.0,060014224002013
105,06001,Alameda,Berkeley,California,37.87159260000001,-122.272747,7.0,6.0,3.0,2.0,11.0,29.0,060014224002013
111,06001,Alameda,Berkeley,California,37.87159260000001,-122.272747,4.0,9.0,3.0,3.0,11.0,30.0,060014224002013
118,06001,Alameda,Berkeley,California,37.87159260000001,-122.272747,4.0,9.0,4.0,2.0,3.0,22.0,060014224002013
122,06001,Alameda,Berkeley,California,37.87159260000001,-122.272747,4.0,6.0,3.0,2.0,3.0,18.0,060014224002013
120,06001,Alameda,Berkeley,California,37.87159260000001,-122.272747,4.0,6.0,3.0,3.0,3.0,19.0,060014224002013
121,06001,Alameda,Berkeley,California,37.87159260000001,-122.272747,4.0,6.0,3.0,2.0,11.0,26.0,060014224002013
123,06001,Alameda,Berkeley,California,37.87159260000001,-122.272747,4.0,6.0,4.0,3.0,11.0,28.0,060014224002013
124,06001,Alameda,Berkeley,California,37.87159260000001,-122.272747,4.0,6.0,4.0,3.0,3.0,20.0,060014224002013
125,06001,Alameda,Berkeley,California,37.87159260000001,-122.272747,4.0,6.0,4.0,2.0,11.0,27.0,060014224002013
126,06001,Alameda,Berkeley,California,37.87159260000001,-122.272747,4.0,6.0,4.0,2.0,3.0,19.0,060014224002013
244,06001,Alameda,Hayward,California,37.6688205,-122.08079640000001,3.0,1.0,2.0,4.0,2.0,12.0,060014354002048
358,06001,Alameda,Piedmont,California,37.824371500000005,-122.23163500000001,0.0,0.0,1.0,0.0,0.0,1.0,060014262002032
220,06001,Alameda,Fremont,California,37.548269700000006,-121.98857190000001,0.0,0.0,1.0,3.0,1.0,5.0,060014419232037
515,06001,Alameda,Union City,California,37.59339179999999,-122.0438298,1.0,5.0,3.0,0.0,0.0,9.0,060014403014029
337,06001,Alameda,Oakland,California,37.8043637,-122.27111370000002,6.0,7.0,9.0,9.0,6.0,37.0,060014029001033
206,06001,Alameda,Emeryville,California,37.831315999999994,-122.2852473,0.0,1.0,0.0,0.0,0.0,1.0,060014251042009
197,06001,Alameda,Dublin,California,37.7021521,-121.9357918,0.0,0.0,2.0,0.0,0.0,2.0,060014504003048
104,06001,Alameda,Berkeley,California,37.87159260000001,-122.272747,7.0,6.0,3.0,3.0,3.0,22.0,060014224002013
119,06001,Alameda,Berkeley,California,37.87159260000001,-122.272747,4.0,6.0,3.0,3.0,11.0,27.0,060014224002013
103,06001,Alameda,Berkeley,California,37.87159260000001,-122.272747,7.0,6.0,3.0,3.0,11.0,30.0,060014224002013
99,06001,Alameda,Berkeley,California,37.87159260000001,-122.272747,7.0,9.0,4.0,3.0,11.0,34.0,060014224002013
101,06001,Alameda,Berkeley,California,37.87159260000001,-122.272747,7.0,9.0,4.0,2.0,11.0,33.0,060014224002013
459,06001,Alameda,San Leandro,California,37.7249296,-122.1560768,3.0,4.0,0.0,3.0,18.0,28.0,060014326001026
74,06001,Alameda,Alameda,California,37.7652065,-122.2416355,0.0,1.0,3.0,2.0,3.0,9.0,060014281004003
283,06001,Alameda,Livermore,California,37.6818745,-121.7680088,3.0,1.0,2.0,4.0,0.0,10.0,060014516011034
102,06001,Alameda,Berkeley,California,37.87159260000001,-122.272747,7.0,9.0,4.0,2.0,3.0,25.0,060014224002013
95,06001,Alameda,Berkeley,California,37.87159260000001,-122.272747,7.0,9.0,3.0,3.0,11.0,33.0,060014224002013
331,06001,Alameda,Newark,California,37.5296593,-122.0402399,3.0,3.0,2.0,1.0,1.0,10.0,060014444003014
100,06001,Alameda,Berkeley,California,37.87159260000001,-122.272747,7.0,9.0,4.0,3.0,3.0,26.0,060014224002013
96,06001,Alameda,Berkeley,California,37.87159260000001,-122.272747,7.0,9.0,3.0,3.0,3.0,25.0,060014224002013
97,06001,Alameda,Berkeley,California,37.87159260000001,-122.272747,7.0,9.0,3.0,2.0,11.0,32.0,060014224002013
98,06001,Alameda,Berkeley,California,37.87159260000001,-122.272747,7.0,9.0,3.0,2.0,3.0,24.0,060014224002013
262,06005,Amador,Ione,California,38.3526912,-120.93271770000001,0.0,0.0,1.0,0.0,0.0,1.0,060050003032055
239,06007,Butte,Gridley,California,39.363777299999995,-121.69358329999999,0.0,1.0,0.0,1.0,0.0,2.0,060070035024019
146,06007,Butte,Chico,California,39.728494399999995,-121.8374777,4.0,4.0,3.0,0.0,3.0,14.0,060070010006017
350,06007,Butte,Paradise,California,39.7596061,-121.62191770000001,1.0,0.0,0.0,0.0,1.0,2.0,060070021001007
342,06007,Butte,Oroville,California,39.513775200000005,-121.55635900000001,0.0,1.0,0.0,0.0,0.0,1.0,060070028002003
159,06011,Colusa,Colusa,California,39.2143343,-122.0094175,0.0,0.0,1.0,0.0,0.0,1.0,060110005001101
378,06013,Contra Costa,Richmond,California,37.9357576,-122.3477486,5.0,1.0,0.0,1.0,4.0,11.0,060133750002011
526,06013,Contra Costa,Walnut Creek,California,37.9100783,-122.06518190000001,1.0,1.0,2.0,3.0,2.0,9.0,060133390023008
467,06013,Contra Costa,San Ramon,California,37.7799273,-121.9780153,0.0,0.0,0.0,0.0,4.0,4.0,060133452023019
129,06013,Contra Costa,Brentwood,California,37.931868,-121.6957863,1.0,4.0,2.0,0.0,0.0,7.0,060133031032044
247,06013,Contra Costa,Hercules,California,38.017144099999996,-122.28858079999999,0.0,1.0,1.0,0.0,0.0,2.0,060133591051031
175,06013,Contra Costa,Danville,California,37.8215929,-121.9999606,0.0,0.0,0.0,0.0,1.0,1.0,060133452033013
163,06013,Contra Costa,Contra Costa,California,37.8534093,-121.90179540000001,1.0,0.0,0.0,0.0,0.0,1.0,060133551121138
202,06013,Contra Costa,El Cerrito,California,37.9161326,-122.31076499999999,0.0,6.0,8.0,2.0,0.0,16.0,060133860004006
