County,State,"County, State"
Alameda,California,"Alameda, California"
Alpine,California,"Alpine, California"
Amador,California,"Amador, California"
Butte,California,"Butte, California"
Calaveras,California,"Calaveras, California"
Colusa,California,"Colusa, California"
Contra Costa,California,"Contra Costa, California"
Del Norte,California,"Del Norte, California"
El Dorado,California,"El Dorado, California"
Fresno,California,"Fresno, California"
Glenn,California,"Glenn, California"
Humboldt,California,"Humboldt, California"
Imperial,California,"Imperial, California"
Inyo,California,"Inyo, California"
Kern,California,"Kern, California"
Kings,California,"Kings, California"
Lake,California,"Lake, California"
Lassen,California,"Lassen, California"
Los Angeles,California,"Los Angeles, California"
Madera,California,"Madera, California"
Marin,California,"Marin, California"
Mariposa,California,"Mariposa, California"
Mendocino,California,"Mendocino, California"
Merced,California,"Merced, California"
Modoc,California,"Modoc, California"
Mono,California,"Mono, California"
Monterey,California,"Monterey, California"
Napa,California,"Napa, California"
Nevada,California,"Nevada, California"
Orange,California,"Orange, California"
Placer,California,"Placer, California"
Plumas,California,"Plumas, California"
Riverside,California,"Riverside, California"
Sacramento,California,"Sacramento, California"
San Benito,California,"San Benito, California"
San Bernardino,California,"San Bernardino, California"
San Diego,California,"San Diego, California"
San Francisco,California,"San Francisco, California"
San Joaquin,California,"San Joaquin, California"
San Luis Obispo,California,"San Luis Obispo, California"
San Mateo,California,"San Mateo, California"
Santa Barbara,California,"Santa Barbara, California"
Santa Clara,California,"Santa Clara, California"
Santa Cruz,California,"Santa Cruz, California"
Shasta,California,"Shasta, California"
Sierra,California,"Sierra, California"
Siskiyou,California,"Siskiyou, California"
Solano,California,"Solano, California"
Sonoma,California,"Sonoma, California"
Stanislaus,California,"Stanislaus, California"
Sutter,California,"Sutter, California"
Tehama,California,"Tehama, California"
Trinity,California,"Trinity, California"
Tulare,California,"Tulare, California"
Tuolumne,California,"Tuolumne, California"
Ventura,California,"Ventura, California"
Yolo,California,"Yolo, California"
Yuba,California,"Yuba, California"
Adams,Colorado,"Adams, Colorado"
Alamosa,Colorado,"Alamosa, Colorado"
Arapahoe,Colorado,"Arapahoe, Colorado"
Archuleta,Colorado,"Archuleta, Colorado"
Baca,Colorado,"Baca, Colorado"
Bent,Colorado,"Bent, Colorado"
Boulder,Colorado,"Boulder, Colorado"
Broomfield,Colorado,"Broomfield, Colorado"
Chaffee,Colorado,"Chaffee, Colorado"
Cheyenne,Colorado,"Cheyenne, Colorado"
Clear Creek,Colorado,"Clear Creek, Colorado"
Conejos,Colorado,"Conejos, Colorado"
Costilla,Colorado,"Costilla, Colorado"
Crowley,Colorado,"Crowley, Colorado"
Custer,Colorado,"Custer, Colorado"
Delta,Colorado,"Delta, Colorado"
Denver,Colorado,"Denver, Colorado"
Dolores,Colorado,"Dolores, Colorado"
Douglas,Colorado,"Douglas, Colorado"
Eagle,Colorado,"Eagle, Colorado"
Elbert,Colorado,"Elbert, Colorado"
El Paso,Colorado,"El Paso, Colorado"
Fremont,Colorado,"Fremont, Colorado"
Garfield,Colorado,"Garfield, Colorado"
Gilpin,Colorado,"Gilpin, Colorado"
Grand,Colorado,"Grand, Colorado"
Gunnison,Colorado,"Gunnison, Colorado"
Hinsdale,Colorado,"Hinsdale, Colorado"
Huerfano,Colorado,"Huerfano, Colorado"
Jackson,Colorado,"Jackson, Colorado"
Jefferson,Colorado,"Jefferson, Colorado"
Kiowa,Colorado,"Kiowa, Colorado"
Kit Carson,Colorado,"Kit Carson, Colorado"
Lake,Colorado,"Lake, Colorado"
La Plata,Colorado,"La Plata, Colorado"
Larimer,Colorado,"Larimer, Colorado"
Las Animas,Colorado,"Las Animas, Colorado"
Lincoln,Colorado,"Lincoln, Colorado"
Logan,Colorado,"Logan, Colorado"
Mesa,Colorado,"Mesa, Colorado"
Mineral,Colorado,"Mineral, Colorado"
Moffat,Colorado,"Moffat, Colorado"
Montezuma,Colorado,"Montezuma, Colorado"
Montrose,Colorado,"Montrose, Colorado"
Morgan,Colorado,"Morgan, Colorado"
Otero,Colorado,"Otero, Colorado"
Ouray,Colorado,"Ouray, Colorado"
Park,Colorado,"Park, Colorado"
Phillips,Colorado,"Phillips, Colorado"
Pitkin,Colorado,"Pitkin, Colorado"
Prowers,Colorado,"Prowers, Colorado"
Pueblo,Colorado,"Pueblo, Colorado"
Rio Blanco,Colorado,"Rio Blanco, Colorado"
Rio Grande,Colorado,"Rio Grande, Colorado"
Routt,Colorado,"Routt, Colorado"
Saguache,Colorado,"Saguache, Colorado"
San Juan,Colorado,"San Juan, Colorado"
San Miguel,Colorado,"San Miguel, Colorado"
Sedgwick,Colorado,"Sedgwick, Colorado"
Summit,Colorado,"Summit, Colorado"
Teller,Colorado,"Teller, Colorado"
Washington,Colorado,"Washington, Colorado"
Weld,Colorado,"Weld, Colorado"
Yuma,Colorado,"Yuma, Colorado"
East Haven,Connecticut,"East Haven, Connecticut"
Hartford,Connecticut,"Hartford, Connecticut"
Washington,District of Columbia,"Washington, District of Columbia"
Alachua County,Florida,"Alachua County, Florida"
Clay County,Florida,"Clay County, Florida"
West Palm Beach,Florida,"West Palm Beach, Florida"
Clayton County,Georgia,"Clayton County, Georgia"
DeKalb County,Georgia,"DeKalb County, Georgia"
Adams,Illinois,"Adams, Illinois"
Alexander,Illinois,"Alexander, Illinois"
Bond,Illinois,"Bond, Illinois"
Boone,Illinois,"Boone, Illinois"
Brown,Illinois,"Brown, Illinois"
Bureau,Illinois,"Bureau, Illinois"
Calhoun,Illinois,"Calhoun, Illinois"
Carroll,Illinois,"Carroll, Illinois"
Cass,Illinois,"Cass, Illinois"
Champaign,Illinois,"Champaign, Illinois"
Christian,Illinois,"Christian, Illinois"
Clark,Illinois,"Clark, Illinois"
Clay,Illinois,"Clay, Illinois"
Clinton,Illinois,"Clinton, Illinois"
Coles,Illinois,"Coles, Illinois"
Cook,Illinois,"Cook, Illinois"
Crawford,Illinois,"Crawford, Illinois"
Cumberland,Illinois,"Cumberland, Illinois"
DeKalb,Illinois,"DeKalb, Illinois"
De Witt,Illinois,"De Witt, Illinois"
Douglas,Illinois,"Douglas, Illinois"
DuPage,Illinois,"DuPage, Illinois"
Edgar,Illinois,"Edgar, Illinois"
Edwards,Illinois,"Edwards, Illinois"
Effingham,Illinois,"Effingham, Illinois"
Fayette,Illinois,"Fayette, Illinois"
Ford,Illinois,"Ford, Illinois"
Franklin,Illinois,"Franklin, Illinois"
Fulton,Illinois,"Fulton, Illinois"
Gallatin,Illinois,"Gallatin, Illinois"
Greene,Illinois,"Greene, Illinois"
Grundy,Illinois,"Grundy, Illinois"
Hamilton,Illinois,"Hamilton, Illinois"
Hancock,Illinois,"Hancock, Illinois"
Hardin,Illinois,"Hardin, Illinois"
Henderson,Illinois,"Henderson, Illinois"
Henry,Illinois,"Henry, Illinois"
Iroquois,Illinois,"Iroquois, Illinois"
Jackson,Illinois,"Jackson, Illinois"
Jasper,Illinois,"Jasper, Illinois"
Jefferson,Illinois,"Jefferson, Illinois"
Jersey,Illinois,"Jersey, Illinois"
Jo Daviess,Illinois,"Jo Daviess, Illinois"
Johnson,Illinois,"Johnson, Illinois"
Kane,Illinois,"Kane, Illinois"
Kankakee,Illinois,"Kankakee, Illinois"
Kendall,Illinois,"Kendall, Illinois"
Knox,Illinois,"Knox, Illinois"
La Salle,Illinois,"La Salle, Illinois"
Lake,Illinois,"Lake, Illinois"
Lawrence,Illinois,"Lawrence, Illinois"
Lee,Illinois,"Lee, Illinois"
Livingston,Illinois,"Livingston, Illinois"
Logan,Illinois,"Logan, Illinois"
McDonough,Illinois,"McDonough, Illinois"
McHenry,Illinois,"McHenry, Illinois"
McLean,Illinois,"McLean, Illinois"
Macon,Illinois,"Macon, Illinois"
Macoupin,Illinois,"Macoupin, Illinois"
Madison,Illinois,"Madison, Illinois"
Marion,Illinois,"Marion, Illinois"
Marshall,Illinois,"Marshall, Illinois"
Mason,Illinois,"Mason, Illinois"
Massac,Illinois,"Massac, Illinois"
Menard,Illinois,"Menard, Illinois"
Mercer,Illinois,"Mercer, Illinois"
Monroe,Illinois,"Monroe, Illinois"
Montgomery,Illinois,"Montgomery, Illinois"
Morgan,Illinois,"Morgan, Illinois"
Moultrie,Illinois,"Moultrie, Illinois"
Ogle,Illinois,"Ogle, Illinois"
Peoria,Illinois,"Peoria, Illinois"
Perry,Illinois,"Perry, Illinois"
Piatt,Illinois,"Piatt, Illinois"
Pike,Illinois,"Pike, Illinois"
Pope,Illinois,"Pope, Illinois"
Pulaski,Illinois,"Pulaski, Illinois"
Putnam,Illinois,"Putnam, Illinois"
Randolph,Illinois,"Randolph, Illinois"
Richland,Illinois,"Richland, Illinois"
Rock Island,Illinois,"Rock Island, Illinois"
Saline,Illinois,"Saline, Illinois"
Sangamon,Illinois,"Sangamon, Illinois"
Schuyler,Illinois,"Schuyler, Illinois"
Scott,Illinois,"Scott, Illinois"
Shelby,Illinois,"Shelby, Illinois"
St. Clair,Illinois,"St. Clair, Illinois"
Stark,Illinois,"Stark, Illinois"
Stephenson,Illinois,"Stephenson, Illinois"
Tazewell,Illinois,"Tazewell, Illinois"
Union,Illinois,"Union, Illinois"
Vermilion,Illinois,"Vermilion, Illinois"
Wabash,Illinois,"Wabash, Illinois"
Warren,Illinois,"Warren, Illinois"
Washington,Illinois,"Washington, Illinois"
Wayne,Illinois,"Wayne, Illinois"
White,Illinois,"White, Illinois"
Whiteside,Illinois,"Whiteside, Illinois"
Will,Illinois,"Will, Illinois"
Williamson,Illinois,"Williamson, Illinois"
Winnebago,Illinois,"Winnebago, Illinois"
Woodford,Illinois,"Woodford, Illinois"
Benton County,Iowa,"Benton County, Iowa"
Cass County,Iowa,"Cass County, Iowa"
Franklin County,Iowa,"Franklin County, Iowa"
Fremont County,Iowa,"Fremont County, Iowa"
Greene County,Iowa,"Greene County, Iowa"
Ida County,Iowa,"Ida County, Iowa"
Iowa City,Iowa,"Iowa City, Iowa"
"Iowa City, Johnson County",Iowa,"Iowa City, Johnson County, Iowa"
Jefferson County,Iowa,"Jefferson County, Iowa"
Marion County,Iowa,"Marion County, Iowa"
Monona County,Iowa,"Monona County, Iowa"
Montgomery County,Iowa,"Montgomery County, Iowa"
Pottawattamie County,Iowa,"Pottawattamie County, Iowa"
Sioux County,Iowa,"Sioux County, Iowa"
Butler County,Kansas,"Butler County, Kansas"
Harvey County,Kansas,"Harvey County, Kansas"
Louisville,Kentucky,"Louisville, Kentucky"
New Orleans,Lousiana,"New Orleans, Lousiana"
Baltimore,Maryland,"Baltimore, Maryland"
Montgomery County,Maryland,"Montgomery County, Maryland"
Prince George's County,Maryland,"Prince George's County, Maryland"
Amherst,Massachusets,"Amherst, Massachusets"
Boston,Massachusets,"Boston, Massachusets"
Cambridge,Massachusets,"Cambridge, Massachusets"
Lawrence,Massachusets,"Lawrence, Massachusets"
Northhampton,Massachusets,"Northhampton, Massachusets"
Somerville,Massachusets,"Somerville, Massachusets"
Hennepin County,Minnesota,"Hennepin County, Minnesota"
Jackson ,Mississippi,"Jackson, Mississippi"
Hall County,Nebraska,"Hall County, Nebraska"
Sarpy County,Nebraska,"Sarpy County, Nebraska"
Washoe County,Nevada,"Washoe County, Nevada"
Middlesex County,New Jersey,"Middlesex County, New Jersey"
Newark,New Jersey,"Newark, New Jersey"
Ocean County,New Jersey,"Ocean County, New Jersey"
Union County,New Jersey,"Union County, New Jersey"
Bernalillo County,New Mexico,"Bernalillo County, New Mexico"
New Mexico County Jails,New Mexico,"New Mexico County Jails, New Mexico"
San Miguel,New Mexico,"San Miguel, New Mexico"
Bernalillo,New Mexico,"Bernalillo, New Mexico"
Catron,New Mexico,"Catron, New Mexico"
Chaves,New Mexico,"Chaves, New Mexico"
Cibola,New Mexico,"Cibola, New Mexico"
Colfax,New Mexico,"Colfax, New Mexico"
Curry,New Mexico,"Curry, New Mexico"
De Baca,New Mexico,"De Baca, New Mexico"
Dona Ana,New Mexico,"Dona Ana, New Mexico"
Eddy,New Mexico,"Eddy, New Mexico"
Grant,New Mexico,"Grant, New Mexico"
Guadalupe,New Mexico,"Guadalupe, New Mexico"
Harding,New Mexico,"Harding, New Mexico"
Hidalgo,New Mexico,"Hidalgo, New Mexico"
Lea,New Mexico,"Lea, New Mexico"
Lincoln,New Mexico,"Lincoln, New Mexico"
Los Alamos,New Mexico,"Los Alamos, New Mexico"
Luna,New Mexico,"Luna, New Mexico"
McKinley,New Mexico,"McKinley, New Mexico"
Mora,New Mexico,"Mora, New Mexico"
Otero,New Mexico,"Otero, New Mexico"
Quay,New Mexico,"Quay, New Mexico"
Rio Arriba,New Mexico,"Rio Arriba, New Mexico"
Roosevelt,New Mexico,"Roosevelt, New Mexico"
Sandoval,New Mexico,"Sandoval, New Mexico"
San Juan,New Mexico,"San Juan, New Mexico"
San Miguel,New Mexico,"San Miguel, New Mexico"
Santa Fe,New Mexico,"Santa Fe, New Mexico"
Sierra,New Mexico,"Sierra, New Mexico"
Socorro,New Mexico,"Socorro, New Mexico"
Taos,New Mexico,"Taos, New Mexico"
Torrance,New Mexico,"Torrance, New Mexico"
Union,New Mexico,"Union, New Mexico"
Valencia,New Mexico,"Valencia, New Mexico"
Albany,New York,"Albany, New York"
Franklin County,New York,"Franklin County, New York"
Ithaca,New York,"Ithaca, New York"
Nassau County,New York,"Nassau County, New York"
New York City,New York,"New York City, New York"
Omondaga County,New York,"Omondaga County, New York"
St. Lawrence County,New York,"St. Lawrence County, New York"
Wayne County,New York,"Wayne County, New York"
Baker,Oregon,"Baker, Oregon"
Benton,Oregon,"Benton, Oregon"
Clackamas,Oregon,"Clackamas, Oregon"
Clatsop,Oregon,"Clatsop, Oregon"
Columbia,Oregon,"Columbia, Oregon"
Coos,Oregon,"Coos, Oregon"
Crook,Oregon,"Crook, Oregon"
Curry,Oregon,"Curry, Oregon"
Deschutes,Oregon,"Deschutes, Oregon"
Douglas,Oregon,"Douglas, Oregon"
Gilliam,Oregon,"Gilliam, Oregon"
Grant,Oregon,"Grant, Oregon"
Harney,Oregon,"Harney, Oregon"
Hood River,Oregon,"Hood River, Oregon"
Jackson,Oregon,"Jackson, Oregon"
Jefferson,Oregon,"Jefferson, Oregon"
Josephine,Oregon,"Josephine, Oregon"
